student_id,topic,accuracy,silly_rate,conceptual_rate,calculation_rate,avg_time_ratio,n_questions,is_weak
1,Algebra,0.5416666666666666,0.09090909090909091,0.45454545454545453,0.45454545454545453,1.1204583333333333,24,0
1,Calculus,0.375,0.2,0.4666666666666667,0.3333333333333333,1.1878611111111113,24,1
1,Geometry,0.7916666666666666,0.0,0.4,0.6,1.0042222222222221,24,0
1,Number Theory,0.16666666666666666,0.3,0.4,0.3,1.200638888888889,24,1
1,Probability & Statistics,0.875,0.0,0.6666666666666666,0.3333333333333333,1.0655694444444446,24,0
1,Trigonometry,0.7916666666666666,0.2,0.2,0.6,0.9305694444444444,24,0
2,Algebra,0.5,0.08333333333333333,0.5,0.4166666666666667,1.0713333333333332,24,0
2,Calculus,0.25,0.16666666666666666,0.5555555555555556,0.2777777777777778,1.1825833333333333,24,1
2,Geometry,0.20833333333333334,0.2631578947368421,0.5789473684210527,0.15789473684210525,1.2867777777777778,24,1
2,Number Theory,0.125,0.2857142857142857,0.3333333333333333,0.38095238095238093,1.2348888888888887,24,1
2,Probability & Statistics,0.4166666666666667,0.2857142857142857,0.5714285714285714,0.14285714285714285,1.1556666666666666,24,1
2,Trigonometry,0.8333333333333334,0.0,0.25,0.75,1.0484305555555555,24,0
3,Algebra,0.3333333333333333,0.1875,0.3125,0.5,1.2151527777777777,24,1
3,Calculus,0.6666666666666666,0.25,0.25,0.5,1.1080694444444443,24,0
3,Geometry,0.5416666666666666,0.2727272727272727,0.6363636363636364,0.09090909090909091,1.1175972222222221,24,0
3,Number Theory,0.5833333333333334,0.5,0.4,0.1,1.0924305555555556,24,0
3,Probability & Statistics,0.3333333333333333,0.25,0.4375,0.3125,1.1792916666666666,24,1
3,Trigonometry,0.5416666666666666,0.2727272727272727,0.36363636363636365,0.36363636363636365,1.1931666666666667,24,0
4,Algebra,0.5,0.25,0.4166666666666667,0.3333333333333333,1.2762777777777778,24,0
4,Calculus,0.6666666666666666,0.375,0.5,0.125,1.2591666666666665,24,0
4,Geometry,0.625,0.2222222222222222,0.4444444444444444,0.3333333333333333,1.0013750000000001,24,0
4,Number Theory,0.20833333333333334,0.2631578947368421,0.5789473684210527,0.15789473684210525,1.1391111111111112,24,1
4,Probability & Statistics,0.16666666666666666,0.3,0.6,0.1,1.1992916666666666,24,1
4,Trigonometry,0.20833333333333334,0.21052631578947367,0.5789473684210527,0.21052631578947367,1.282986111111111,24,1
5,Algebra,0.25,0.2222222222222222,0.5,0.2777777777777778,1.194888888888889,24,1
5,Calculus,0.4166666666666667,0.42857142857142855,0.42857142857142855,0.14285714285714285,1.1490694444444445,24,1
5,Geometry,0.20833333333333334,0.3157894736842105,0.5263157894736842,0.15789473684210525,1.2592777777777777,24,1
5,Number Theory,0.7916666666666666,0.2,0.6,0.2,1.067013888888889,24,0
5,Probability & Statistics,0.4583333333333333,0.07692307692307693,0.6923076923076923,0.23076923076923078,1.2044027777777775,24,1
5,Trigonometry,0.20833333333333334,0.10526315789473684,0.7894736842105263,0.10526315789473684,1.1804166666666667,24,1
6,Algebra,0.8333333333333334,0.0,0.75,0.25,0.945125,24,0
6,Calculus,0.5416666666666666,0.18181818181818182,0.45454545454545453,0.36363636363636365,1.1455555555555557,24,0
6,Geometry,0.6666666666666666,0.125,0.5,0.375,1.0166250000000001,24,0
6,Number Theory,0.4166666666666667,0.07142857142857142,0.5714285714285714,0.35714285714285715,1.2653333333333334,24,1
6,Probability & Statistics,0.7083333333333334,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0636944444444445,24,0
6,Trigonometry,0.875,0.0,0.6666666666666666,0.3333333333333333,0.9629305555555555,24,0
7,Algebra,0.4166666666666667,0.07142857142857142,0.2857142857142857,0.6428571428571429,1.1439166666666667,24,1
7,Calculus,0.375,0.4,0.26666666666666666,0.3333333333333333,1.1926944444444445,24,1
7,Geometry,0.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0849166666666665,24,0
7,Number Theory,0.5833333333333334,0.2,0.5,0.3,1.1289999999999998,24,0
7,Probability & Statistics,0.6666666666666666,0.5,0.125,0.375,1.0742361111111112,24,0
7,Trigonometry,0.8333333333333334,0.5,0.25,0.25,1.1468472222222224,24,0
8,Algebra,0.625,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.9970972222222222,24,0
8,Calculus,0.5833333333333334,0.1,0.4,0.5,1.1445833333333333,24,0
8,Geometry,0.5416666666666666,0.36363636363636365,0.36363636363636365,0.2727272727272727,1.0339583333333333,24,0
8,Number Theory,0.7083333333333334,0.42857142857142855,0.42857142857142855,0.14285714285714285,1.052902777777778,24,0
8,Probability & Statistics,0.625,0.4444444444444444,0.4444444444444444,0.1111111111111111,1.0850972222222222,24,0
8,Trigonometry,0.4583333333333333,0.23076923076923078,0.46153846153846156,0.3076923076923077,1.1298333333333332,24,1
9,Algebra,0.625,0.1111111111111111,0.7777777777777778,0.1111111111111111,1.0891666666666666,24,0
9,Calculus,0.6666666666666666,0.25,0.5,0.25,1.185361111111111,24,0
9,Geometry,0.375,0.13333333333333333,0.6666666666666666,0.2,1.1594861111111112,24,1
9,Number Theory,0.4166666666666667,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.196361111111111,24,1
9,Probability & Statistics,0.7083333333333334,0.14285714285714285,0.42857142857142855,0.42857142857142855,1.0037916666666666,24,0
9,Trigonometry,0.5833333333333334,0.1,0.7,0.2,1.0780416666666666,24,0
10,Algebra,0.5416666666666666,0.2727272727272727,0.5454545454545454,0.18181818181818182,1.0156666666666665,24,0
10,Calculus,0.75,0.16666666666666666,0.3333333333333333,0.5,1.1203055555555554,24,0
